id,sdp,group,sus_G,sus_E,sus,inf_G,inf_E,inf,rec_G,rec_E,rec,r0_G,r0_E,r0
477,progeny,17,0.024464,0.0206962,1.04619544699524,0.0472317,-0.121104,0.928790292788972,0.0734978,0.0412291,1.12156709576901,1.15626328556863,0.942538322508608,1.08982245755814
478,progeny,17,0.0195841,-0.0491975,0.970820780322306,-0.167004,0.071528,0.908940175956121,0.0021661,-0.0469563,0.956198071145872,0.864802778310356,0.975674941290129,0.843766399955497
479,progeny,17,0.0376113,-0.057999,0.979818723939058,-0.187665,0.0873522,0.904554429153367,-0.00718815,-0.138581,0.864357217018421,0.854497373635473,0.896526165574307,0.766079253878726
480,progeny,18,-0.0466678,0.0504023,1.00374148193376,-0.0351213,-0.164727,0.818854963954381,-0.0464912,0.102203,1.05729292800157,0.87960679080344,0.987951471851289,0.869008823624648
481,progeny,18,-0.0496413,-0.0222647,0.930618369826626,-0.0342046,0.0311931,0.996993030017601,-0.0566889,-0.0529125,0.896191285958256,0.868893426915381,0.956969173161935,0.831504224321053
482,progeny,18,-0.0493886,-0.00940152,0.942904645218198,-0.0335059,-0.00221431,0.964910227951558,-0.0550666,-0.0255917,0.922508858872263,0.871132578143994,0.963476164391389,0.839315475066556
483,progeny,18,-0.0510138,-0.0506701,0.903315044429913,-0.0327692,0.108244,1.07839605179513,-0.0605674,-0.112568,0.841023732521581,0.865584394142995,0.94649073223233,0.819267607021281
484,progeny,18,-0.0509699,-0.0507856,0.903250369388126,-0.0326741,0.11005,1.08044814052409,-0.0605221,-0.112703,0.840948296076149,0.865743936048171,0.947964144215401,0.820694209445577
485,progeny,18,-0.0959801,-0.0670076,0.849601638450475,-0.0271338,0.220678,1.21354302396776,-0.0590291,-0.14677,0.813996591772527,0.833482143946807,1.0069242626157,0.839253393196992
486,progeny,18,-0.100679,-0.109111,0.810754486536475,-0.0244231,0.32906,1.35613250188662,-0.0636413,-0.225188,0.749140072699295,0.827998943966888,0.994774699625945,0.823672400775261
487,progeny,18,-0.0985752,-0.00492979,0.901671523389728,-0.0255772,0.044398,1.01899902762931,-0.0490573,0.00307675,0.955060537937528,0.840961246779628,1.04346296941417,0.877511919726913
488,progeny,18,-0.0909533,-0.0291066,0.886867311774106,-0.0306262,0.123224,1.09702042491162,-0.0549335,-0.0773838,0.876062976191664,0.838187882641883,1.01687439090104,0.852331792622098
489,progeny,18,-0.101043,0.00484107,0.908280588450334,-0.0247439,0.00963828,0.985007897574558,-0.0473254,0.031224,0.984027534604239,0.841043160394193,1.04676384240029,0.880373570198705
490,progeny,18,0.0449559,-0.0960869,0.950154192180097,0.103623,0.298951,1.49566960068035,0.0117742,-0.19875,0.829463809166704,1.17392531084541,1.0041225745271,1.17876490542862
491,progeny,18,0.0420957,-0.0278485,1.01434917506478,0.105771,0.102764,1.231872044828,0.0226888,-0.0339358,0.988816011054817,1.18596347107998,1.0418309561624,1.23557345704893
492,progeny,18,0.0437941,-0.0999535,0.945388428963797,0.104381,0.307065,1.50899821970441,0.0117981,-0.202423,0.826442528610709,1.1734794213219,1.0046995082134,1.17899419750066
493,progeny,18,0.0474581,-0.00887596,1.03933609591881,0.103259,0.0630587,1.18094822938357,0.0241905,-0.00757793,1.01675132604093,1.19113615054707,1.04770788357741,1.24796273534221
494,progeny,18,0.0484101,-0.0399069,1.00853945489313,0.102047,0.149381,1.28586031478821,0.0187904,-0.0825076,0.938270304857002,1.18441324492873,1.02733338651857,1.21678726995008
495,progeny,18,0.0290758,-0.102118,0.929561601698489,-0.140691,0.304191,1.17762535518742,-0.0531418,-0.200889,0.775667911106895,0.848099767293675,1.00118470120471,0.849104512109706
496,progeny,18,0.03604,-0.0680439,0.968502804910893,-0.144796,0.221517,1.07974078668516,-0.0503381,-0.148366,0.819792434028489,0.852916095788194,1.00512016346454,0.85728316562017
497,progeny,18,0.0358819,-0.00730268,1.02899152431429,-0.144087,0.0544442,0.914257699802631,-0.0410987,-0.0088011,0.951324742464399,0.861307409956846,1.03908489795871,0.894971522186092
498,progeny,18,0.0358132,0.0608208,1.10145716651567,-0.144403,-0.138659,0.753473071081105,-0.0309907,0.144642,1.12036138674736,0.869723007684193,1.0690857029814,0.929808433069155
499,progeny,18,0.0457765,-0.0153153,1.03092988919307,-0.152051,0.0866368,0.936679410405391,-0.0457211,-0.0629211,0.897051325048554,0.858992060297874,1.00843578236603,0.866238330372692
500,progeny,18,-0.0251276,-0.0119053,0.963644430925741,0.0845268,0.0794277,1.17816070756097,0.000456744,-0.0312285,0.96969687531322,1.06168359363697,1.03696056442031,1.10092401849358
501,progeny,18,-0.0305671,0.10703,1.07946214154881,0.0859358,-0.271312,0.830791681224781,0.0193747,0.253978,1.31436373917351,1.07760760129434,1.09384170527745,1.17873213621974
502,progeny,18,-0.0100751,0.00955362,0.999478655947063,0.0668537,0.0161659,1.08656310497639,-0.00257509,-0.0391277,0.959154808614463,1.05569942568509,0.986681309236362,1.04163889149504
503,progeny,18,-0.0321191,0.0320052,0.999886106486359,0.0875287,-0.0612222,1.02665557018746,0.00895234,0.0912247,1.10536659485578,1.06647833008209,1.06397053726963,1.13470152184386
504,progeny,18,-0.0168157,-0.00229024,0.981075421607003,0.076664,0.0594469,1.14580895676238,-0.00136329,-0.0412591,0.958273175289594,1.06022909274138,1.01602459851498,1.07721883828647
505,progeny,19,-0.0518556,-0.0599137,0.894250537304023,-0.0247047,0.163541,1.14893600378453,-0.060327,-0.126843,0.829302742935001,0.872068502714376,0.977051710988189,0.852056022675989
506,progeny,19,-0.0509164,-0.0315813,0.920813555725547,-0.0241611,0.0888837,1.06686303552638,-0.0566594,-0.066082,0.884492362713614,0.876571590728706,0.991258828144602,0.868909327810587
507,progeny,19,-0.0535707,-0.0997251,0.857875924578143,-0.0247807,0.265219,1.27180646094969,-0.0661296,-0.212545,0.756786121357073,0.865471356202658,0.954038644969994,0.825693119931927
508,progeny,19,-0.0535592,-0.0991028,0.858419818680975,-0.0244008,0.264037,1.27078675399551,-0.0661695,-0.211662,0.757424436780045,0.865775622856095,0.954347135528725,0.826250485683312
509,progeny,19,-0.050765,-0.0316111,0.920925533462032,-0.0241214,0.0891112,1.06714813941766,-0.0566433,-0.0663841,0.884239434068399,0.87675323518002,0.991155346124799,0.86899865628089
