id	sus_g	inf_g	end_g	sus_e	inf_e	end_e	sus_pt	inf_pt	end_pt	r0_g	r0_pt
39	0.454728	0.818746	0.235541	-8.87544e-05	0.000112775	-7.27536e-05	0.4546392456	0.818858775	0.2354682464	1.509015	1.508966267
40	-0.233042	0.0675208	-0.0387576	-0.0012971	0.000632968	-0.000416527	-0.2343391	0.068153768	-0.039174127	-0.2042788	-0.205359459
41	0.114223	0.122439	-0.0183983	-0.000576782	0.000472916	-0.000104835	0.113646218	0.122911916	-0.018503135	0.2182637	0.218054999
42	0.676079	0.707472	0.165152	0.000720198	0.00040073	0.000359598	0.676799198	0.70787273	0.165511598	1.548703	1.550183526
43	0.438153	1.27198	0.169483	-0.00344448	0.00134597	-0.0011604	0.43470852	1.27332597	0.1683226	1.879616	1.87635709
44	-1.33316	0.319569	-0.187059	0.00191055	-0.00117514	0.000537324	-1.33124945	0.31839386	-0.186521676	-1.20065	-1.199377266
45	0.397297	-0.315121	0.0145762	-0.000141564	2.69009e-06	-0.000235566	0.397155436	-0.31511830991	0.014340634	0.0967522	0.09637776009
46	0.431483	-0.077434	0.0492668	-0.00166599	0.00166679	-0.000361208	0.42981701	-0.07576721	0.048905592	0.4033158	0.402955392
47	-2.17091	0.703868	-0.254103	-0.000368862	0.000595339	-5.18382e-05	-2.171278862	0.704463339	-0.2541548382	-1.721145	-1.7209703612
48	0.57598	-0.451428	0.110708	3.29749e-05	-1.78035e-05	7.30811e-05	0.5760129749	-0.4514458035	0.1107810811	0.23526	0.2353482525
49	0.358044	-0.341547	0.0501977	0.000957643	0.000498796	0.000379809	0.359001643	-0.341048204	0.050577509	0.0666947	0.068530948
50	0.113284	-0.249464	0.0014489	0.00263086	-0.00138417	0.000754212	0.11591486	-0.25084817	0.002203112	-0.1347311	-0.132730198
51	-0.213357	-0.123494	0.0393528	-0.00166561	0.00079814	-0.000646556	-0.21502261	-0.12269586	0.038706244	-0.2974982	-0.299012226
52	-0.388795	0.0906571	-0.0852802	-0.00041286	0.000271819	-0.000124956	-0.38920786	0.090928919	-0.085405156	-0.3834181	-0.383684097
53	2.03656	-0.851617	0.188529	-0.00159292	0.00106153	-0.000456738	2.03496708	-0.85055547	0.188072262	1.373472	1.372483872
54	-2.34082	0.677434	-0.258218	-0.0018611	0.00117106	-0.000471276	-2.3426811	0.67860506	-0.258689276	-1.921604	-1.922765316
55	0.00638705	-0.205233	-0.0209817	-0.866483	0.493605	-0.263566	-0.86009595	0.288372	-0.2845477	-0.21982765	-0.85627165
56	0.0858116	-0.184947	0.00156426	-0.162687	0.218576	-0.0296641	-0.0768754	0.033629	-0.02809984	-0.09757114	-0.07134624
57	0.145596	-0.202485	0.0149376	0.342559	-0.0577157	0.125851	0.488155	-0.2602007	0.1407886	-0.0419514	0.3687429
58	0.0854258	-0.184071	0.00157706	-0.160694	0.217866	-0.0291132	-0.0752682	0.033795	-0.02753614	-0.09706814	-0.06900934
59	0.0561717	-0.190454	-0.00657173	-0.424738	0.325533	-0.116494	-0.3685663	0.135079	-0.12306573	-0.14085403	-0.35655303
60	-0.937174	-0.124892	-0.126328	-0.853245	0.519229	-0.191592	-1.790419	0.394337	-0.31792	-1.188394	-1.714002
61	-0.720969	-0.177514	-0.100456	-0.0257409	0.0843763	0.0204055	-0.7467099	-0.0931377	-0.0800505	-0.998939	-0.9198981
62	-0.475809	-0.296812	-0.0825566	0.617945	-0.426274	0.134851	0.142136	-0.723086	0.0522944	-0.8551776	-0.5286556
63	-0.862618	-0.10243	-0.11674	-0.740412	0.574712	-0.162498	-1.60303	0.472282	-0.279238	-1.081788	-1.409986
64	-1.34132	-0.00950994	-0.182251	-2.75366	1.58504	-0.708803	-4.09498	1.57553006	-0.891054	-1.53308094	-3.41050394
65	0.157521	1.04973	0.0959823	-0.857036	0.592477	-0.170687	-0.699515	1.642207	-0.0747047	1.3032333	0.8679873
66	0.529184	1.10938	0.19121	2.06419	-0.574248	0.779511	2.593374	0.535132	0.970721	1.829774	4.099227
67	0.542578	1.10365	0.191939	2.09489	-0.598244	0.783695	2.637468	0.505406	0.975634	1.838167	4.118508
68	0.587729	0.832327	0.124369	0.184582	-0.22291	9.05925e-05	0.772311	0.609417	0.1244595925	1.544425	1.5061875925
69	1.14082	0.546658	0.225889	4.35896	-2.73061	1.22486	5.49978	-2.183952	1.450749	1.913367	4.766577
70	1.01634	-1.0742	-0.00684854	1.93193	-1.50601	0.383969	2.94827	-2.58021	0.37712046	-0.06470854	0.74518046
71	0.18885	-0.6903	-0.0850263	-1.01359	0.557227	-0.279904	-0.82474	-0.133073	-0.3649303	-0.5864763	-1.3227433
72	0.874408	-1.03663	-0.0281014	1.21522	-1.10973	0.183976	2.089628	-2.14636	0.1558746	-0.1903234	0.0991425999999998
73	0.593961	-0.850448	-0.0560844	-0.0829143	-0.096134	-0.124512	0.5110467	-0.946582	-0.1805964	-0.3125714	-0.6161317
74	0.229127	-0.73442	-0.093532	-1.28953	0.613772	-0.406403	-1.060403	-0.120648	-0.499935	-0.598825	-1.680986
75	-0.117023	0.585584	0.0466343	0.261137	-0.029458	0.116146	0.144114	0.556126	0.1627803	0.5151953	0.8630203
76	-0.185628	0.546795	0.0117869	-0.905741	0.423215	-0.294668	-1.091369	0.97001	-0.2828811	0.3729539	-0.4042401
77	0.311368	0.496456	0.0889068	1.38365	-0.596978	0.363029	1.695018	-0.100522	0.4519358	0.8967308	2.0464318
78	-0.0710973	0.577251	0.047632	0.237162	-0.0191511	0.0910928	0.1660647	0.5580999	0.1387248	0.5537857	0.8628894
79	-0.128736	0.605197	0.0368044	-0.204232	0.237057	-0.0402226	-0.332968	0.842254	-0.0034182	0.5132654	0.5058678
80	0.0394557	-0.304966	-0.0227477	-0.60723	0.139728	-0.216849	-0.5677743	-0.165238	-0.2395967	-0.288258	-0.972609
81	-0.0213268	-0.31959	-0.0397012	-1.12467	0.344216	-0.388843	-1.1459968	0.024626	-0.4285442	-0.380618	-1.549915
82	0.111934	-0.297582	-0.00354454	0.00681342	-0.124541	-0.0166962	0.11874742	-0.422123	-0.02024074	-0.18919254	-0.32361632
83	0.183144	-0.306492	0.0136694	0.616213	-0.42204	0.17637	0.799357	-0.728532	0.1900394	-0.1096786	0.2608644
84	0.191813	-0.307792	0.0157405	0.693714	-0.460092	0.200863	0.885527	-0.767884	0.2166035	-0.1002385	0.3342465
85	-0.468245	-0.425817	-0.118107	-0.916322	0.526956	-0.235978	-1.384567	0.101139	-0.354085	-1.012169	-1.637513
86	-0.0139473	-0.724892	-0.0711844	1.2173	-1.10724	0.278117	1.2033527	-1.832132	0.2069326	-0.8100237	-0.4218467
87	-0.476289	-0.423593	-0.11917	-0.944728	0.542703	-0.243497	-1.421017	0.11911	-0.362667	-1.019052	-1.664574
88	-0.482896	-0.421466	-0.120008	-0.972172	0.559278	-0.250454	-1.455068	0.137812	-0.370462	-1.02437	-1.687718
89	-0.441824	-0.433862	-0.114931	-0.806691	0.463962	-0.207812	-1.248515	0.0301	-0.322743	-0.990617	-1.541158
